Replicate Algorithm Instance Group Result
1 3 16 4 259.267
1 3 17 4 287.256
1 3 18 4 319.94
1 3 19 4 281.604
1 3 20 4 318.318
1 3 21 5 310.388
1 3 22 5 295.787
1 3 23 5 300.721
1 3 24 5 317.637
1 3 25 5 328.291
1 3 26 6 288.487
1 3 27 6 327.965
1 3 28 6 333.845
1 3 29 6 329.73
1 3 30 6 355.313
1 3 31 7 507.995
1 3 32 7 576.854
1 3 33 7 533.074
1 3 34 7 592.509
1 3 35 7 608.487
1 3 36 8 507.995
1 3 37 8 507.995
1 3 38 8 608.963
1 3 39 8 616.957
1 3 40 8 546.957
1 3 41 9 335.147
1 3 42 9 341.389
1 3 43 9 377.494
1 3 44 9 437.954
1 3 45 9 448.104
1 3 46 10 443.008
1 3 47 10 570.833
1 3 48 10 507.936
1 3 49 10 534.918
1 3 50 10 618.355
1 3 51 11 443.008
1 3 52 11 491.885
1 3 53 11 525.352
1 3 54 11 571.192
1 3 55 11 615.142
1 3 56 12 350.724
1 3 57 12 414.024
1 3 58 12 370.493
1 3 59 12 362.607
1 3 60 12 436.751
1 3 61 13 2282.14
1 3 62 13 2159.34
1 3 63 13 2271.45
1 3 64 13 2324.86
1 3 65 13 2436.83
1 3 66 14 614.982
1 3 67 14 654.145
1 3 68 14 636.632
1 3 69 14 745.174
1 3 70 14 758.299
1 3 71 15 581.771
1 3 72 15 614.395
1 3 73 15 681.955
1 3 74 15 790.299
1 3 75 15 953.917
1 3 76 16 407.956
1 3 77 16 452.441
1 3 78 16 428.033
1 3 79 16 476.276
1 3 80 16 497.452
1 3 81 17 447.851
1 3 82 17 442.137
1 3 83 17 486.955
1 3 84 17 469.069
1 3 85 17 552.826
1 3 86 18 814.666
1 3 87 18 818.341
1 3 88 18 894.602
1 3 89 18 870.285
1 3 90 18 907.239
1 3 91 19 549.838
1 3 92 19 554.91
1 3 93 19 617.794
1 3 94 19 582.711
1 3 95 19 667.189
1 3 96 20 283.681
1 3 97 20 305.423
1 3 98 20 357.59
1 3 99 20 383.491
1 3 100 20 400.333
1 3 101 21 699.407
1 3 102 21 799.261
1 3 103 21 853.462
1 3 104 21 805.098
1 3 105 21 873.491
1 3 106 22 754.463
1 3 107 22 778.431
1 3 108 22 955.058
1 3 109 22 974.627
1 3 110 22 951.66
1 3 111 23 732.278
1 3 112 23 793.796
1 3 113 23 837.687
1 3 114 23 910.326
1 3 115 23 904.988
1 3 116 24 725.455
1 3 117 24 823.121
1 3 118 24 861.951
1 3 119 24 868.939
1 3 120 24 953.141
1 3 121 25 921.853
1 3 122 25 1029.61
1 3 123 25 1049.63
1 3 124 25 1101.27
1 3 125 25 1229.11
1 3 126 26 850.947
1 3 127 26 952.034
1 3 128 26 1034.53
1 3 129 26 1276.13
1 3 130 26 1443.43
1 3 131 27 957.536
1 3 132 27 914.4
1 3 133 27 972.499
1 3 134 27 1122.65
1 3 135 27 1206.47
1 3 136 28 1010.42
1 3 137 28 1260.62
1 3 138 28 1516.62
1 3 139 28 1631.47
1 3 140 28 1991.1
1 3 141 29 1115.8
1 3 142 29 1349.81
1 3 143 29 1592.64
1 3 144 29 1647.54
1 3 145 29 1866.3
1 3 146 30 1085.35
1 3 147 30 1250.93
1 3 148 30 1374.2
1 3 149 30 1370.197
1 3 150 30 1573.34
1 3 151 31 1442.86
1 3 152 31 1511.22
1 3 153 31 1639.02
1 3 154 31 1995.28
1 3 155 31 2206.43
1 3 156 32 1418.41
1 3 157 32 1478.84
1 3 158 32 1692.33
1 3 159 32 1900.49
1 3 160 32 2108.42
1 3 161 33 1313.11
1 3 162 33 1403.59
1 3 163 33 1628.87
1 3 164 33 1942.45
1 3 165 33 2124.82
1 3 166 34 595.86
1 3 167 34 698.551
1 3 168 34 815.178
1 3 169 34 898.034
1 3 170 34 999.452
1 3 171 35 765.319
1 3 172 35 905.07
1 3 173 35 1068.26
1 3 174 35 1145.27
1 3 175 35 1301.53
1 3 176 36 681.366
1 3 177 36 811.854
1 3 178 36 1012.5
1 3 179 36 1059.78
1 3 180 36 1333.8
1 4 1 1 229.31
1 4 2 1 220.746
1 4 3 1 229.31
1 4 4 1 247.53
1 4 5 1 256.103
1 4 6 2 220.994
1 4 7 2 229.31
1 4 8 2 229.31
1 4 9 2 268.173
1 4 10 2 250.993
1 4 11 3 261.528
1 4 12 3 305.878
1 4 13 3 302.102
1 4 14 3 319.003
1 4 15 3 311.238
1 4 16 4 305.878
1 4 17 4 290.401
1 4 18 4 310.333
1 4 19 4 299.618
1 4 20 4 302.837
1 4 21 5 297.202
1 4 22 5 297.202
1 4 23 5 313.652
1 4 24 5 346.376
1 4 25 5 381.832
1 4 26 6 297.202
1 4 27 6 316.727
1 4 28 6 322.006
1 4 29 6 323.782
1 4 30 6 343.3
1 4 31 7 507.995
1 4 32 7 537.389
1 4 33 7 552.156
1 4 34 7 566.941
1 4 35 7 542.798
1 4 36 8 507.995
1 4 37 8 507.995
1 4 38 8 556.18
1 4 39 8 551.113
1 4 40 8 550.575
1 4 41 9 349.918
1 4 42 9 442.342
1 4 43 9 358.022
1 4 44 9 368.638
1 4 45 9 414.328
1 4 46 10 443.008
1 4 47 10 570.833
1 4 48 10 432.697
1 4 49 10 550.889
1 4 50 10 618.355
1 4 51 11 443.008
1 4 52 11 474.601
1 4 53 11 528.559
1 4 54 11 741.54
1 4 55 11 656.702
1 4 56 12 385.938
1 4 57 12 383.103
1 4 58 12 370.493
1 4 59 12 396.599
1 4 60 12 412.635
1 4 61 13 2317.86
1 4 62 13 2363.35
1 4 63 13 2142.13
1 4 64 13 2492.4
1 4 65 13 2419.84
1 4 66 14 674.46
1 4 67 14 656.659
1 4 68 14 684.256
1 4 69 14 772.331
1 4 70 14 802.547
1 4 71 15 720.061
1 4 72 15 748.741
1 4 73 15 782.706
1 4 74 15 815.173
1 4 75 15 938.224
1 4 76 16 413.11
1 4 77 16 452.441
1 4 78 16 450.735
1 4 79 16 473.41
1 4 80 16 535.84
1 4 81 17 405.532
1 4 82 17 557.999
1 4 83 17 502.839
1 4 84 17 528.496
1 4 85 17 543.379
1 4 86 18 749.878
1 4 87 18 799.005
1 4 88 18 841.972
1 4 89 18 915.428
1 4 90 18 892.452
1 4 91 19 596.148
1 4 92 19 558.461
1 4 93 19 656.755
1 4 94 19 718.344
1 4 95 19 731.08
1 4 96 20 259.359
1 4 97 20 339.175
1 4 98 20 341.123
1 4 99 20 378.217
1 4 100 20 479.498
1 4 101 21 713.388
1 4 102 21 799.261
1 4 103 21 845.343
1 4 104 21 816.452
1 4 105 21 981.124
1 4 106 22 778.431
1 4 107 22 778.431
1 4 108 22 928.361
1 4 109 22 873.878
1 4 110 22 915.478
1 4 111 23 719.865
1 4 112 23 819.139
1 4 113 23 939.63
1 4 114 23 912.128
1 4 115 23 991.077
1 4 116 24 725.455
1 4 117 24 829.681
1 4 118 24 985.374
1 4 119 24 868.939
1 4 120 24 909.491
1 4 121 25 921.853
1 4 122 25 980.633
1 4 123 25 1103.8
1 4 124 25 1172.05
1 4 125 25 1167.76
1 4 126 26 787.394
1 4 127 26 1049.26
1 4 128 26 1016.3
1 4 129 26 1176.62
1 4 130 26 1263.09
1 4 131 27 940.938
1 4 132 27 1050.99
1 4 133 27 972.499
1 4 134 27 1199.7
1 4 135 27 1229.09
1 4 136 28 990.065
1 4 137 28 1260.62
1 4 138 28 1516.62
1 4 139 28 1631.47
1 4 140 28 1991.1
1 4 141 29 1115.8
1 4 142 29 1349.81
1 4 143 29 1570.73
1 4 144 29 1647.54
1 4 145 29 2109.07
1 4 146 30 1109.79
1 4 147 30 1250.93
1 4 148 30 1376.98
1 4 149 30 1373.64
1 4 150 30 1613.65
1 4 151 31 1442.86
1 4 152 31 1511.22
1 4 153 31 1639.02
1 4 154 31 1927.29
1 4 155 31 2158.25
1 4 156 32 1418.41
1 4 157 32 1478.84
1 4 158 32 1692.33
1 4 159 32 1894.98
1 4 160 32 2101.1
1 4 161 33 1313.11
1 4 162 33 1403.59
1 4 163 33 1701.42
1 4 164 33 1859.24
1 4 165 33 2071.33
1 4 166 34 617.344
1 4 167 34 698.551
1 4 168 34 815.178
1 4 169 34 898.034
1 4 170 34 992.5
1 4 171 35 765.319
1 4 172 35 871.901
1 4 173 35 998.182
1 4 174 35 1033.74
1 4 175 35 1235.35
1 4 176 36 681.366
1 4 177 36 811.854
1 4 178 36 1012.5
1 4 179 36 1092
1 4 180 36 1301.56
1 5 1 1 260.56
1 5 2 1 260.56
1 5 3 1 229.31
1 5 4 1 238.349
1 5 5 1 288.664
1 5 6 2 220.994
1 5 7 2 220.994
1 5 8 2 224.473
1 5 9 2 253.954
1 5 10 2 241.305
1 5 11 3 272.697
1 5 12 3 272.697
1 5 13 3 332.423
1 5 14 3 309.627
1 5 15 3 289.23
1 5 16 4 284.212
1 5 17 4 272.697
1 5 18 4 374.624
1 5 19 4 304.031
1 5 20 4 313.054
1 5 21 5 308.654
1 5 22 5 297.202
1 5 23 5 310.411
1 5 24 5 375.601
1 5 25 5 371.033
1 5 26 6 297.202
1 5 27 6 327.965
1 5 28 6 323.555
1 5 29 6 345.092
1 5 30 6 307.909
1 5 31 7 507.995
1 5 32 7 576.854
1 5 33 7 617.118
1 5 34 7 592.509
1 5 35 7 608.487
1 5 36 8 507.995
1 5 37 8 507.995
1 5 38 8 550.675
1 5 39 8 572.059
1 5 40 8 589.219
1 5 41 9 336.562
1 5 42 9 442.342
1 5 43 9 403.273
1 5 44 9 392.15
1 5 45 9 531.898
1 5 46 10 443.008
1 5 47 10 570.833
1 5 48 10 523.214
1 5 49 10 578.893
1 5 50 10 624.691
1 5 51 11 443.008
1 5 52 11 483.913
1 5 53 11 488.609
1 5 54 11 620.614
1 5 55 11 671.95
1 5 56 12 327.054
1 5 57 12 431.793
1 5 58 12 380.459
1 5 59 12 391.389
1 5 60 12 403.473
1 5 61 13 2253.79
1 5 62 13 2292.29
1 5 63 13 2300.04
1 5 64 13 2481.14
1 5 65 13 2327.84
1 5 66 14 612.08
1 5 67 14 623.84
1 5 68 14 636.632
1 5 69 14 771.48
1 5 70 14 810.031
1 5 71 15 635.114
1 5 72 15 748.741
1 5 73 15 782.706
1 5 74 15 779.15
1 5 75 15 918.119
1 5 76 16 406.968
1 5 77 16 441.262
1 5 78 16 414.235
1 5 79 16 530.226
1 5 80 16 479.344
1 5 81 17 451.176
1 5 82 17 461.488
1 5 83 17 593.376
1 5 84 17 511.24
1 5 85 17 538.782
1 5 86 18 818.456
1 5 87 18 818.341
1 5 88 18 801.087
1 5 89 18 847.654
1 5 90 18 825.596
1 5 91 19 520.002
1 5 92 19 580.4
1 5 93 19 699.569
1 5 94 19 584.953
1 5 95 19 635.506
1 5 96 20 289.036
1 5 97 20 319.766
1 5 98 20 341.733
1 5 99 20 383.491
1 5 100 20 485.74
1 5 101 21 764.315
1 5 102 21 701.933
1 5 103 21 887.623
1 5 104 21 838.915
1 5 105 21 904.517
1 5 106 22 724.022
1 5 107 22 770.193
1 5 108 22 841.705
1 5 109 22 872.096
1 5 110 22 927.732
1 5 111 23 734.871
1 5 112 23 807.931
1 5 113 23 783.739
1 5 114 23 991.839
1 5 115 23 933.676
1 5 116 24 725.455
1 5 117 24 773.139
1 5 118 24 875.589
1 5 119 24 868.939
1 5 120 24 847.864
1 5 121 25 921.853
1 5 122 25 972.117
1 5 123 25 1103.8
1 5 124 25 1145.23
1 5 125 25 1168.27
1 5 126 26 760.804
1 5 127 26 784.88
1 5 128 26 947.98
1 5 129 26 1276.13
1 5 130 26 1443.43
1 5 131 27 957.536
1 5 132 27 1027.33
1 5 133 27 972.499
1 5 134 27 1116.03
1 5 135 27 1483.83
1 5 136 28 999.492
1 5 137 28 1260.62
1 5 138 28 1340.77
1 5 139 28 1631.47
1 5 140 28 1991.1
1 5 141 29 1115.8
1 5 142 29 1349.81
1 5 143 29 1456.49
1 5 144 29 1572.37
1 5 145 29 1866.3
1 5 146 30 1081.98
1 5 147 30 1250.93
1 5 148 30 1338.38
1 5 149 30 1415.24
1 5 150 30 1422.58
1 5 151 31 1369.78
1 5 152 31 1459.79
1 5 153 31 1575.21
1 5 154 31 1678.58
1 5 155 31 2071.13
1 5 156 32 1388.52
1 5 157 32 1478.84
1 5 158 32 1474.64
1 5 159 32 1880.42
1 5 160 32 1826.79
1 5 161 33 1313.11
1 5 162 33 1403.59
1 5 163 33 1701.42
1 5 164 33 1802.81
1 5 165 33 1918.25
1 5 166 34 617.344
1 5 167 34 698.551
1 5 168 34 769.603
1 5 169 34 892.034
1 5 170 34 899.073
1 5 171 35 765.319
1 5 172 35 825.701
1 5 173 35 1068.26
1 5 174 35 1033.74
1 5 175 35 1239.87
1 5 176 36 641.682
1 5 177 36 811.854
1 5 178 36 1008.78
1 5 179 36 1056.79
1 5 180 36 1301.56
1 6 1 1 220.746
1 6 2 1 219.454
1 6 3 1 220.994
1 6 4 1 258.149
1 6 5 1 247.205
1 6 6 2 220.746
1 6 7 2 229.31
1 6 8 2 222.916
1 6 9 2 284.285
1 6 10 2 242.597
1 6 11 3 272.697
1 6 12 3 272.697
1 6 13 3 319.173
1 6 14 3 288.924
1 6 15 3 294.08
1 6 16 4 272.697
1 6 17 4 272.697
1 6 18 4 281.604
1 6 19 4 291.993
1 6 20 4 294.212
1 6 21 5 297.202
1 6 22 5 297.202
1 6 23 5 328.255
1 6 24 5 370.538
1 6 25 5 319.325
1 6 26 6 279.853
1 6 27 6 327.282
1 6 28 6 306.342
1 6 29 6 316.179
1 6 30 6 320.591
1 6 31 7 498.643
1 6 32 7 576.854
1 6 33 7 504.869
1 6 34 7 508.202
1 6 35 7 608.487
1 6 36 8 507.995
1 6 37 8 507.995
1 6 38 8 608.963
1 6 39 8 513.152
1 6 40 8 539.32
1 6 41 9 336.211
1 6 42 9 353.835
1 6 43 9 362.917
1 6 44 9 437.954
1 6 45 9 424.667
1 6 46 10 443.008
1 6 47 10 436.21
1 6 48 10 492.653
1 6 49 10 547.804
1 6 50 10 589.78
1 6 51 11 443.008
1 6 52 11 449.907
1 6 53 11 486.657
1 6 54 11 513.709
1 6 55 11 644.524
1 6 56 12 333.715
1 6 57 12 363.545
1 6 58 12 366.448
1 6 59 12 378.588
1 6 60 12 403.007
1 6 61 13 2205.07
1 6 62 13 2094.06
1 6 63 13 2243.59
1 6 64 13 2413.98
1 6 65 13 2390.82
1 6 66 14 693.222
1 6 67 14 604.747
1 6 68 14 632.936
1 6 69 14 761.773
1 6 70 14 799.246
1 6 71 15 591.549
1 6 72 15 642.985
1 6 73 15 708.982
1 6 74 15 788.736
1 6 75 15 898.138
1 6 76 16 391.217
1 6 77 16 452.441
1 6 78 16 420.088
1 6 79 16 467.048
1 6 80 16 479.004
1 6 81 17 420.311
1 6 82 17 519.435
1 6 83 17 441.25
1 6 84 17 528.496
1 6 85 17 458.597
1 6 86 18 784.153
1 6 87 18 818.341
1 6 88 18 828.621
1 6 89 18 851.492
1 6 90 18 818.341
1 6 91 19 505.525
1 6 92 19 501.416
1 6 93 19 620.976
1 6 94 19 596.58
1 6 95 19 602.345
1 6 96 20 283.293
1 6 97 20 328.914
1 6 98 20 348.923
1 6 99 20 349.89
1 6 100 20 428.002
1 6 101 21 734.796
1 6 102 21 799.261
1 6 103 21 767.347
1 6 104 21 784.046
1 6 105 21 849.912
1 6 106 22 754.463
1 6 107 22 756.372
1 6 108 22 768.38
1 6 109 22 839.392
1 6 110 22 951.731
1 6 111 23 713.987
1 6 112 23 724.835
1 6 113 23 787.127
1 6 114 23 788.055
1 6 115 23 818.623
